NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,산상수훈,유영의,(주)그란,,"이언픽쳐스,(주)그란",20171207,개봉영화,장편,한국,71,3206000,284,3206000,284,드라마,전체관람가,독립/예술영화
2,교회오빠,이호경,"KBS,커넥트픽쳐스(주)",,커넥트픽쳐스(주),20190516,개봉영화,장편,한국,200,1499000,154,1499000,154,다큐멘터리,전체관람가,독립/예술영화
3,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20190523,개봉영화,장편,미국,1311,28482000,3611,20536000,2567,어드벤처,전체관람가,일반영화
4,기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,20190530,개봉영화,장편,한국,1948,1575865450,227811,684991280,97354,드라마,15세이상관람가,일반영화
5,천로역정: 천국을 찾아서,로버트 페르난데스,,(재)CBS,"(재)CBS,주식회사 마운틴픽쳐스",20190613,개봉영화,장편,미국,381,809000,397,0,0,애니메이션,전체관람가,독립/예술영화
6,주전장,미키 데자키,,(주)시네마달,(주)시네마달,20190725,개봉영화,장편,미국,56,276000,46,276000,46,다큐멘터리,전체관람가,독립/예술영화
7,엑시트,이상근,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,20190731,개봉영화,장편,한국,1660,200000,40,0,0,코미디,12세이상관람가,일반영화
8,김복동,송원근,한국탐사저널리즘센터,,(주)엣나인필름,20190808,개봉영화,장편,한국,366,770000,110,0,0,다큐멘터리,12세이상관람가,독립/예술영화
9,이타미 준의 바다,정다운,기린그림,,(주)영화사 진진,20190815,개봉영화,장편,한국,57,865000,144,865000,144,다큐멘터리,전체관람가,독립/예술영화
10,벌새,김보라,에피파니(주),,"(주)엣나인필름,(주)콘텐츠판다",20190829,개봉영화,장편,한국,145,22672400,2721,18210500,2082,드라마,15세이상관람가,독립/예술영화
11,메기,이옥섭,"국가인권위원회,2X9HD",,"(주)엣나인필름,CGV아트하우스",20190926,개봉영화,장편,한국,155,6143000,745,5394000,632,미스터리,15세이상관람가,독립/예술영화
12,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),20191002,개봉영화,장편,미국,1418,62016680,7434,34138500,4070,액션,15세이상관람가,일반영화
13,북간도의 십자가,반태경,(재)CBS,,"(재)CBS,주식회사 마운틴픽쳐스",20191017,개봉영화,장편,한국,123,385000,52,385000,52,다큐멘터리,전체관람가,독립/예술영화
14,82년생 김지영,김도영,(주)봄바람영화사,,롯데컬처웍스(주)롯데엔터테인먼트,20191023,개봉영화,장편,한국,1486,7202000,863,1662000,189,드라마,12세이상관람가,일반영화
15,더 킹: 헨리 5세,데이비드 미쇼,,,판씨네마(주),20191023,개봉영화,장편,네덜란드,146,650000,107,0,0,드라마,청소년관람불가,독립/예술영화
16,경계선,알리 아바시,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20191024,개봉영화,장편,스웨덴,48,1765000,214,1765000,214,판타지,청소년관람불가,독립/예술영화
17,날씨의 아이,신카이 마코토,,(주)미디어캐슬,"(주)미디어캐슬,워터홀컴퍼니(주)",20191030,개봉영화,장편,일본,716,432474640,56874,192082420,24357,애니메이션,15세이상관람가,일반영화
18,터미네이터: 다크 페이트,팀 밀러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20191030,개봉영화,장편,미국,1315,13246000,1165,8802000,693,액션,15세이상관람가,일반영화
19,졸업,박주환,미디어나무,,(주)시네마달,20191107,개봉영화,장편,한국,12,56000,16,0,0,다큐멘터리,12세이상관람가,독립/예술영화
20,블랙머니,정지영,"유한회사 질라라비,(주)아우라픽처스",,(주)에이스메이커무비웍스,20191113,개봉영화,장편,한국,1117,3500000,700,2450000,490,범죄,12세이상관람가,일반영화
21,대통령의 7시간,이상호,(주)씨네포트,,"(주)씨네포트,주식회사 마운틴픽쳐스",20191114,개봉영화,장편,한국,84,1992000,256,914000,108,다큐멘터리,12세이상관람가,독립/예술영화
22,더 컨덕터,마리아 피터즈,,(주)선익필름,(주)라이크콘텐츠,20191114,개봉영화,장편,네덜란드,35,400000,80,0,0,드라마,12세이상관람가,독립/예술영화
23,삽질,김병기,ohmynews,,(주)엣나인필름,20191114,개봉영화,장편,한국,171,2060000,294,1988000,284,다큐멘터리,12세이상관람가,독립/예술영화
24,윤희에게,임대형,영화사 달리기,,(주)리틀빅픽쳐스,20191114,개봉영화,장편,한국,317,41753308,5224,28325808,3241,멜로/로맨스,12세이상관람가,독립/예술영화
25,아이리시맨,마틴 스코세이지,,,판씨네마(주),20191120,개봉영화,장편,미국,68,27717180,4016,19242260,2522,범죄,청소년관람불가,독립/예술영화
26,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20191121,개봉영화,장편,미국,2648,3214172730,378728,996195120,112398,애니메이션,전체관람가,일반영화
27,어제 일은 모두 괜찮아,이성한,(주)부영엔터테인먼트,,(주)삼백상회,20191121,개봉영화,장편,한국,87,4439000,1095,4439000,1095,드라마,15세이상관람가,독립/예술영화
28,코끼리는 그곳에 있어,후 보,,(재)전주국제영화제조직위원회,아이 엠,20191121,개봉영화,장편,중국,12,475000,57,137000,11,드라마,12세이상관람가,독립/예술영화
29,프란치스코 교황 : 맨 오브 히스 워드,빔 벤더스,,㈜영화사 백두대간,"㈜영화사 백두대간,영화사 풀",20191121,개봉영화,장편,이탈리아,54,13856000,1965,4753000,622,다큐멘터리,전체관람가,독립/예술영화
30,헤로니모,전후석,커넥트픽쳐스(주),,커넥트픽쳐스(주),20191121,개봉영화,장편,한국,68,5715000,842,1818000,218,다큐멘터리,전체관람가,독립/예술영화
31,결혼 이야기,노아 바움백,,,판씨네마(주),20191127,개봉영화,장편,영국,83,34660100,4396,28064320,3279,멜로/로맨스,15세이상관람가,독립/예술영화
32,러브 앳,위고 젤랭,,(주)크리픽쳐스,(주)크리픽쳐스,20191127,개봉영화,장편,프랑스,153,1773000,226,1533000,186,멜로/로맨스,12세이상관람가,일반영화
33,카센타,하윤재,팔팔애비뉴(주),,(주)트리플픽쳐스,20191127,개봉영화,장편,한국,138,1080000,180,0,0,범죄,15세이상관람가,독립/예술영화
34,크롤,알렉산더 아야,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20191127,개봉영화,장편,미국,612,1872000,240,1872000,240,액션,15세이상관람가,일반영화
35,허슬러,로렌 스카파리아,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",20191127,개봉영화,장편,미국,445,1730000,262,1307000,175,범죄,청소년관람불가,일반영화
36,녹차의 중력,정성일,영화사 키노(주),,주식회사 마운틴픽쳐스,20191128,개봉영화,장편,한국,4,797500,102,570000,58,다큐멘터리,전체관람가,독립/예술영화
37,삼촌,김형진,영화사 진,,(주)드림팩트엔터테인먼트,20191128,개봉영화,장편,한국,10,10000,1,10000,1,미스터리,청소년관람불가,독립/예술영화
38,앵커,최정민,씨네마캣 픽쳐스,,씨네마캣 픽쳐스,20191128,개봉영화,장편,한국,5,46000,17,0,0,드라마,15세이상관람가,독립/예술영화
39,어메이징 그레이스,시드니 폴락,,(주)영화사 진진,(주)영화사 진진,20191128,개봉영화,장편,미국,30,811000,101,634000,81,다큐멘터리,전체관람가,독립/예술영화
40,우리를 갈라놓는 것들,임흥순,반달,,(주)엣나인필름,20191128,개봉영화,장편,한국,15,233000,38,0,0,다큐멘터리,12세이상관람가,독립/예술영화
41,집 이야기,박제범,(주)영화사지음,,CGV아트하우스,20191128,개봉영화,장편,한국,82,304500,45,109000,15,드라마,12세이상관람가,독립/예술영화
42,행동하는 양심 김대중,신상민,명량문화재단,,주식회사 마운틴픽쳐스,20191128,개봉영화,장편,한국,86,1800000,200,1800000,200,다큐멘터리,12세이상관람가,독립/예술영화
43,감쪽같은 그녀,허인무,(주)지오필름,,메가박스중앙(주)플러스엠,20191204,개봉영화,장편,한국,761,384000,52,0,0,드라마,전체관람가,일반영화
44,나이브스 아웃,라이언 존슨,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,20191204,개봉영화,장편,미국,686,1224745880,147334,731954100,85432,미스터리,12세이상관람가,일반영화
45,"베를린, 아이 러브 유","피터 첼섬,틸 슈바이거,다이아나 애그론,데니스 간젤,마시 태지딘,대니 레비",,(주)영화사 안다미로,(주)영화사 안다미로,20191204,개봉영화,장편,독일,5,4304000,2980,4304000,2980,멜로/로맨스,15세이상관람가,독립/예술영화
46,포드 V 페라리,제임스 맨골드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20191204,개봉영화,장편,미국,986,1425793240,159403,805373360,88246,액션,12세이상관람가,일반영화
47,극장판 타오르지마 버스터-블랙어썰트의 귀환,조영광,(주)시너지미디어,,(주)이수C&E,20191205,개봉영화,장편,한국,259,588000,98,0,0,코미디,전체관람가,독립/예술영화
48,라스트 크리스마스,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20191205,개봉영화,장편,미국,623,5695300,1060,5695300,1060,코미디,12세이상관람가,일반영화
49,이태원,강유가람,영희야 놀자,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),20191205,개봉영화,장편,한국,15,8247000,960,7481000,844,다큐멘터리,15세이상관람가,독립/예술영화
50,파비안느에 관한 진실,고레에다 히로카즈,,(주)티캐스트,(주)티캐스트,20191205,개봉영화,장편,프랑스,109,20618260,2812,17642260,2385,드라마,12세이상관람가,독립/예술영화
51,두 교황,페르난도 메이렐레스,,,판씨네마(주),20191211,개봉영화,장편,미국,66,121616740,15533,91315200,10896,드라마,12세이상관람가,독립/예술영화
52,매리,마이클 고이,,(주)유로커뮤니케이션,(주)영화특별시에스엠씨,20191211,개봉영화,장편,미국,172,10000,10,0,0,공포(호러),15세이상관람가,독립/예술영화
53,아내를 죽였다,김하라,단테미디어랩,,케이티하이텔(주),20191211,개봉영화,장편,한국,556,29452000,5798,29261000,5765,스릴러,15세이상관람가,독립/예술영화
54,쥬만지: 넥스트 레벨,제이크 캐스단,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20191211,개봉영화,장편,미국,1195,18350960,2303,8677800,978,액션,12세이상관람가,일반영화
55,드래곤 빌리지,,,(주)나우콘텐츠,와이드 릴리즈(주),20191212,개봉영화,장편,터키,82,20000,3,0,0,판타지,전체관람가,일반영화
56,디아스포라의 노래 : 아리랑 로드,이규철,KBS 미디어,,(주)드림팩트엔터테인먼트,20191212,개봉영화,장편,한국,7,4325000,863,20000,2,다큐멘터리,전체관람가,독립/예술영화
57,디에고,아시프 카파디아,,(주)콘텐츠판다,워터홀컴퍼니(주),20191212,개봉영화,장편,영국,26,183000,20,155000,17,다큐멘터리,12세이상관람가,독립/예술영화
58,라 파미에,장-폴 루브,,(주)에스와이코마드,(주)에스와이코마드,20191212,개봉영화,장편,프랑스,16,21000,3,0,0,드라마,12세이상관람가,독립/예술영화
59,라스트 씬,박배일,오지필름,,(주)시네마달,20191212,개봉영화,장편,한국,7,437000,68,99000,17,다큐멘터리,전체관람가,독립/예술영화
60,본 투 드라이브,다니엘 파레,,썬택엔터테인먼트 주식회사,썬택엔터테인먼트 주식회사,20191212,개봉영화,장편,노르웨이,4,149000,61,0,0,다큐멘터리,전체관람가,독립/예술영화
61,샐린저,쉐인 샐러노,,판씨네마(주),판씨네마(주),20191212,개봉영화,장편,미국,21,207000,29,42000,5,다큐멘터리,15세이상관람가,독립/예술영화
62,속물들,"신아가,이상철",영화사고래,,(주)삼백상회,20191212,개봉영화,장편,한국,95,1161800,214,0,0,드라마,15세이상관람가,독립/예술영화
63,아스테릭스: 마법 물약의 비밀,"루이 클리시,알렉상드르 아스티에",,(주)박수엔터테인먼트,(주)박수엔터테인먼트,20191212,개봉영화,장편,프랑스,166,1244000,244,0,0,애니메이션,전체관람가,일반영화
64,영화로운 나날,이상덕,콧수염필름즈,,㈜인디스토리,20191212,개봉영화,장편,한국,17,3828500,493,3213000,387,멜로/로맨스,12세이상관람가,독립/예술영화
65,월성,"남태제,김성환",한국탐사저널리즘센터,,(주)리틀빅픽쳐스,20191212,개봉영화,장편,한국,26,3003500,468,265000,36,다큐멘터리,전체관람가,독립/예술영화
66,카운트다운,,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",20191212,개봉영화,장편,미국,238,512000,107,2000,2,공포(호러),15세이상관람가,일반영화
67,루프홀,,,(주)영화사 안다미로,(주)영화사 안다미로,20191216,개봉영화,장편,미국,1,2659000,1465,2659000,1465,SF,15세이상관람가,일반영화
68,쥬라기 프레데터,앤드류 존스,,(주)영화사 안다미로,(주)영화사 안다미로,20191216,개봉영화,장편,영국,1,3564000,1710,3564000,1710,액션,15세이상관람가,일반영화
69,시동,최정열,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),20191218,개봉영화,장편,한국,1515,6862456560,791052,1421008240,158887,드라마,15세이상관람가,일반영화
70,기억할 만한 지나침,박영임,순리필름,,영화배급협동조합 씨네소파,20191219,개봉영화,장편,한국,2,1215000,187,591000,67,드라마,15세이상관람가,독립/예술영화
71,달나라에 사는 여인,니콜 가르시아,,,노바엔터테인먼트,20191219,개봉영화,장편,프랑스,5,6000,1,0,0,드라마,청소년관람불가,독립/예술영화
72,"미안해요, 리키",켄 로치,,(주)영화사 진진,(주)영화사 진진,20191219,개봉영화,장편,프랑스,69,85560380,10559,61805080,7124,드라마,12세이상관람가,독립/예술영화
73,백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠",,"(주)씨제이이엔엠,(주)덱스터스튜디오",20191219,개봉영화,장편,한국,1971,16919576530,1962167,3590482780,406602,어드벤처,12세이상관람가,일반영화
74,신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,(주)씨제이이엔엠,,(주)씨제이이엔엠,20191219,개봉영화,장편,한국,841,1746167940,221099,216952340,25888,애니메이션,전체관람가,일반영화
75,아이 엠 브리딩,"엠마 데이비,모라그 맥키넌",,독포레스트,독포레스트,20191219,개봉영화,장편,영국,12,1022000,150,370000,50,다큐멘터리,12세이상관람가,독립/예술영화
76,은지: 돌이킬 수 없는 그녀,구모,(주)더킹이엔티,,(주)이놀미디어,20191219,개봉영화,장편,한국,4,3000,2,2000,1,미스터리,청소년관람불가,독립/예술영화
77,탈출,이숭환,(주)케이알씨지,,(주)케이알씨지,20191219,개봉영화,장편,한국,5,33000,33,1000,1,드라마,12세이상관람가,독립/예술영화
78,호흡,권만기,한국영화아카데미,,(주)영화사 그램,20191219,개봉영화,장편,한국,22,1227000,246,549000,65,드라마,15세이상관람가,독립/예술영화
79,눈의 여왕4,"로버트 렌스,알렉세이 트시칠린",,라인프렌즈(주),(주)넥스트엔터테인먼트월드(NEW),20191224,개봉영화,장편,러시아,541,425729620,65267,81702160,21201,애니메이션,전체관람가,일반영화
80,존과 맥의 요상한 우주여행,,,(주)영화사 안다미로,(주)영화사 안다미로,20191224,개봉영화,장편,미국,1,2944000,1514,2944000,1514,SF,12세이상관람가,일반영화
81,쥬라기 펫의 모험,라이언 벨가드,,(주)영화사 안다미로,(주)영화사 안다미로,20191224,개봉영화,장편,미국,1,3379000,1601,3379000,1601,판타지,12세이상관람가,일반영화
82,캣츠,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20191224,개봉영화,장편,미국,1143,229189360,27904,106842180,12734,뮤지컬,12세이상관람가,일반영화
83,프린스 코기,벤 스타센,,(주)이수C&E,(주)이수C&E,20191224,개봉영화,장편,벨기에,455,496234680,70817,143234060,22471,애니메이션,전체관람가,독립/예술영화
84,와일드라이프,폴 다노,,그린나래미디어(주),"그린나래미디어(주),(주)키다리이엔티",20191225,개봉영화,장편,미국,49,30246360,3717,20528460,2328,드라마,15세이상관람가,독립/예술영화
85,"고흐, 영원의 문에서",줄리언 슈나벨,,찬란,(주)팝엔터테인먼트,20191226,개봉영화,장편,미국,68,185171770,22125,122304570,13568,드라마,12세이상관람가,독립/예술영화
86,천문: 하늘에 묻는다,허진호,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,20191226,개봉영화,장편,한국,1198,8694300070,1034866,2190485310,260317,사극,12세이상관람가,일반영화
87,소림쿵푸: 마지막 대결,,,(주)소나무픽쳐스,(주)소나무픽쳐스,20191230,개봉영화,장편,중국,5,3963000,841,3963000,841,액션,12세이상관람가,독립/예술영화
88,미드웨이,롤랜드 에머리히,,(주)누리픽쳐스,(주)누리픽쳐스,20191231,개봉영화,장편,미국,842,7125474010,821921,1895238140,212540,액션,15세이상관람가,일반영화
89,21 브릿지: 테러 셧다운,브라이언 커크,,(유)조이앤시네마,"(주)드림팩트엔터테인먼트,(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",20200101,개봉영화,장편,미국,228,774683700,100092,280399900,35037,스릴러,15세이상관람가,일반영화
90,디어스킨,,,M&M 인터내셔널,M&M 인터내셔널,20200101,개봉영화,장편,프랑스,15,15327280,2153,9980280,1093,스릴러,청소년관람불가,독립/예술영화
91,"센베노,평창",곽동철,더슛미디어,,주식회사 씨엠닉스,20200101,개봉영화,장편,한국,1,261000,68,0,0,다큐멘터리,12세이상관람가,독립/예술영화
92,잊지 않았어요,박용철,청개구리필름,,주식회사 씨엠닉스,20200101,개봉영화,장편,한국,1,260000,75,260000,75,기타,15세이상관람가,독립/예술영화
93,파바로티,론 하워드,,오드,오드,20200101,개봉영화,장편,영국,85,348527658,43486,225380018,26739,다큐멘터리,12세이상관람가,독립/예술영화
94,피아니스트의 전설,쥬세페 토르나토레,,일미디어,(주)라이크콘텐츠,20200101,개봉영화,장편,이탈리아,69,340627562,41680,207078442,24197,드라마,15세관람가,독립/예술영화
95,무한정사,최재후,오디씨네마,,오디씨네마,20200102,개봉영화,장편,한국,20,940000,171,671000,127,성인물(에로),청소년관람불가,일반영화
96,어린 이모 3,계장혁,모히또필름,,(주)컨텐츠 빌리지,20200102,개봉영화,장편,한국,20,933000,169,671000,126,멜로/로맨스,청소년관람불가,일반영화
97,청춘빌라 살인사건,신해강,(주)메가폰엔터테인먼트,,(주)미로스페이스,20200102,개봉영화,장편,한국,6,6714500,1068,2863500,337,코미디,15세이상관람가,독립/예술영화
98,과외 누나,이가온,(주)케이알씨지,,(주)케이알씨지,20200103,개봉영화,장편,한국,20,1183000,244,1141000,229,멜로/로맨스,청소년관람불가,일반영화
99,구멍사이 몰래보기,다테 류지,,주식회사 미콘,주식회사 미콘,20200103,개봉영화,장편,일본,1,1000,1,0,0,드라마,청소년관람불가,일반영화
100,꽃미모 며느리에게 갑질,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
101,꽉찬 느낌이 좋은 새엄마,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
102,나쁜 남자:내 아내를 몰래 먹다,아카바네 키쿠지로,,(주)영진크리에이티브,(주)영진크리에이티브,20200103,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
103,남편보단 낯선 남자,하라다 칸토나,,(주)영진크리에이티브,(주)영진크리에이티브,20200103,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
104,대리 남편,박준석,재밌는 그림,,주식회사 제이씨엔터웍스,20200103,개봉영화,장편,한국,20,933000,169,671000,126,기타,청소년관람불가,일반영화
105,대물인 의붓아들,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
106,돌싱들의 야릇한 소개팅 - 화끈하다,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
107,목욕탕을 좋아하는 새엄마,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
108,보랏빛 속옷의 처형,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
109,새팬티로 갈아입은 유부녀,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
110,섹슈얼 클리닉-오르가즘강좌,,,주식회사 미콘,주식회사 미콘,20200103,개봉영화,장편,일본,1,1000,1,0,0,드라마,청소년관람불가,일반영화
111,아내와 내 친구들,최재후,(주)나우콘텐츠,,(주)나우콘텐츠,20200103,개봉영화,장편,한국,20,934000,169,672000,126,멜로/로맨스,청소년관람불가,일반영화
112,아내의 욕정난 지스팟,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
113,애인의 육체코디,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
114,외로운 새엄마와 욕탕에서,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
115,욕정을 받아주는 가정교사,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
116,음란한 방문 서비스,히이라기 엔부,,(주)영진크리에이티브,(주)영진크리에이티브,20200103,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
117,잘 벗는 옆집여자,버드맨 텟페이,,(주)영진크리에이티브,(주)영진크리에이티브,20200103,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
118,정사:착한 며느리2,아카바네 키쿠지로,,(주)영진크리에이티브,(주)영진크리에이티브,20200103,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
119,젖은 속옷의 마사지사 - 흥분지수,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
120,착한 며느리:밤이 외로워,버드맨 텟페이,,(주)영진크리에이티브,(주)영진크리에이티브,20200103,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
121,치한 전철 화장실,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
122,친구아들과 목욕탕 불륜,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
123,친구엄마 : 내 여자가 되던 날 2,최민현,(주)영화사가을,,(주)영화사가을,20200103,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
124,친구엄마도 여자인데,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
125,활짝 열린 미망인의 꽃,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
126,알.이.엠,,,(주)스토리제이,(주)스토리제이,20200104,개봉영화,장편,미국,1,2000,1,2000,1,스릴러,15세이상관람가,일반영화
127,19금 불륜소설,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,20200106,개봉영화,장편,한국,20,109000,20,0,0,멜로/로맨스,청소년관람불가,일반영화
128,19금 연애소설,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,20200106,개봉영화,장편,한국,20,109000,20,0,0,멜로/로맨스,청소년관람불가,일반영화
129,끝까지 가는 새엄마,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
130,나를 꼬시는 가정교사,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
131,남편상사와의 속궁합,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
132,데릴사위 : 젊은 장모를 탐하다,최민현,(주)영화사가을,,(주)영화사가을,20200106,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
133,실수한 부인과 불륜정사,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
134,엄청 야한 새엄마,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
135,정년퇴직한 변태 시아버지,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
136,처형과의 1박2일,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
137,친구엄마와 핵재미,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
138,허락해버린 간호사,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200106,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
139,스와핑 동창회,김석만,(주)로드하우스,,(주)로드하우스,20200107,개봉영화,장편,한국,20,109000,20,0,0,성인물(에로),청소년관람불가,일반영화
140,알라딘-램프의 신,,,(유)조이앤시네마,(유)조이앤시네마,20200107,개봉영화,장편,미국,1,1000,1,0,0,드라마,12세이상관람가,일반영화
141,에일리언 2020,,,(유)조이앤시네마,(유)조이앤시네마,20200107,개봉영화,장편,캐나다,1,1000,1,0,0,액션,15세이상관람가,일반영화
142,걸즈 앤 판처 최종장 제1화,미즈시마 츠토무,,(주)엔케이컨텐츠,(주)디스테이션,20200108,개봉영화,장편,일본,55,38676620,4380,23048080,2528,애니메이션,12세이상관람가,일반영화
143,닥터 두리틀,스티븐 개건,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20200108,개봉영화,장편,미국,1290,13449206760,1607082,3702475700,425975,판타지,전체관람가,일반영화
144,스타워즈: 라이즈 오브 스카이워커,J.J. 에이브럼스,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20200108,개봉영화,장편,미국,957,4704790210,507265,1697379020,168273,액션,12세이상관람가,일반영화
145,아내의유혹-무삭제,천성준,에이원 미디어,,에이원 미디어,20200108,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
